Provinsi,Sum of Jumlah Penindakan,SPI 2022
Provinsi Aceh,14,63.35
Provinsi Bali,8,78.82
Provinsi Banten,27,70.71
Provinsi Bengkulu,22,62.77
Provinsi DI Yogyakarta,8,78.76
Provinsi DKI Jakarta,69,73.3
Provinsi Jambi,24,69.42
Provinsi Jawa Barat,132,75.67
Provinsi Jawa Tengah,59,78.17
Provinsi Jawa Timur,123,73.11
Provinsi Kalimantan Barat,10,76.17
Provinsi Kalimantan Selatan,16,73.76
Provinsi Kalimantan Tengah,5,67.04
Provinsi Kalimantan Timur,38,73.04
Provinsi Kepulauan Riau,2,71.27
Provinsi Lampung,36,62.23
Provinsi Maluku,13,60.57
Provinsi Maluku Utara,2,60.37
Provinsi Nusa Tenggara Barat,12,70.36
Provinsi Nusa Tenggara Timur,5,66.86
Provinsi Papua,30,66.76
Provinsi Papua Barat,2,56.42
Provinsi Riau,69,64.16
Provinsi Sulawesi Selatan,10,65.89
Provinsi Sulawesi Tengah,14,68.91
Provinsi Sulawesi Tenggara,16,66.31
Provinsi Sulawesi Utara,11,77.77
Provinsi Sumatera Barat,3,70.57
Provinsi Sumatera Selatan,56,65.59
Provinsi Sumatera Utara,84,66.2
